model,context_length,primary_depth,secondary_depth,tn_answer,tn_primary_cited,tn_secondary_cited,tn_both,ctn_answer,ctn_primary_cited,ctn_secondary_cited,ctn_both
Claude Sonnet 4,10000,50,0,100.0,100.0,0.0,0.0,100.0,100.0,25.0,25.0
Claude Sonnet 4,10000,50,33,100.0,100.0,0.0,0.0,100.0,100.0,0.0,0.0
Claude Sonnet 4,10000,50,67,100.0,100.0,0.0,0.0,50.0,50.0,25.0,25.0
Claude Sonnet 4,10000,50,100,100.0,100.0,0.0,0.0,100.0,100.0,0.0,0.0
Claude Sonnet 4,20000,50,0,100.0,100.0,25.0,25.0,100.0,100.0,25.0,25.0
Claude Sonnet 4,20000,50,33,100.0,100.0,0.0,0.0,100.0,100.0,0.0,0.0
Claude Sonnet 4,20000,50,67,100.0,100.0,50.0,50.0,100.0,100.0,25.0,25.0
Claude Sonnet 4,20000,50,100,100.0,100.0,50.0,50.0,100.0,100.0,0.0,0.0
Claude Sonnet 4,30000,50,0,100.0,100.0,25.0,25.0,100.0,100.0,0.0,0.0
Claude Sonnet 4,30000,50,33,75.0,75.0,0.0,0.0,75.0,75.0,25.0,25.0
Claude Sonnet 4,30000,50,67,75.0,75.0,50.0,50.0,100.0,100.0,25.0,25.0
Claude Sonnet 4,30000,50,100,100.0,100.0,25.0,25.0,100.0,100.0,0.0,0.0
Claude Sonnet 4,40000,50,0,50.0,50.0,0.0,0.0,50.0,50.0,0.0,0.0
Claude Sonnet 4,40000,50,33,75.0,75.0,0.0,0.0,50.0,50.0,0.0,0.0
Claude Sonnet 4,40000,50,67,50.0,50.0,0.0,0.0,50.0,50.0,25.0,0.0
Claude Sonnet 4,40000,50,100,75.0,75.0,25.0,25.0,50.0,50.0,0.0,0.0
Claude Sonnet 4,50000,50,0,100.0,100.0,50.0,50.0,100.0,100.0,25.0,25.0
Claude Sonnet 4,50000,50,33,100.0,100.0,0.0,0.0,100.0,100.0,0.0,0.0
Claude Sonnet 4,50000,50,67,100.0,100.0,50.0,50.0,100.0,100.0,25.0,25.0
Claude Sonnet 4,50000,50,100,100.0,100.0,50.0,50.0,100.0,100.0,0.0,0.0
Claude Sonnet 4,60000,50,0,100.0,100.0,25.0,25.0,100.0,100.0,50.0,50.0
Claude Sonnet 4,60000,50,33,75.0,75.0,75.0,75.0,100.0,100.0,50.0,50.0
Claude Sonnet 4,60000,50,67,100.0,100.0,25.0,25.0,75.0,75.0,25.0,0.0
Claude Sonnet 4,60000,50,100,100.0,100.0,25.0,25.0,75.0,75.0,0.0,0.0
Claude Sonnet 4,70000,50,0,75.0,75.0,50.0,50.0,50.0,50.0,25.0,25.0
Claude Sonnet 4,70000,50,33,50.0,50.0,25.0,25.0,75.0,75.0,25.0,25.0
Claude Sonnet 4,70000,50,67,50.0,50.0,25.0,25.0,50.0,50.0,50.0,50.0
Claude Sonnet 4,70000,50,100,50.0,50.0,0.0,0.0,25.0,25.0,0.0,0.0
Claude Sonnet 4,80000,50,0,100.0,100.0,0.0,0.0,75.0,75.0,25.0,25.0
Claude Sonnet 4,80000,50,33,75.0,75.0,0.0,0.0,75.0,75.0,50.0,50.0
Claude Sonnet 4,80000,50,67,75.0,75.0,25.0,25.0,50.0,50.0,0.0,0.0
Claude Sonnet 4,80000,50,100,75.0,75.0,0.0,0.0,100.0,100.0,25.0,25.0
Claude Sonnet 4,90000,50,0,100.0,100.0,50.0,50.0,100.0,100.0,0.0,0.0
Claude Sonnet 4,90000,50,33,100.0,100.0,0.0,0.0,100.0,100.0,25.0,25.0
Claude Sonnet 4,90000,50,67,100.0,100.0,0.0,0.0,100.0,100.0,25.0,25.0
Claude Sonnet 4,90000,50,100,100.0,100.0,0.0,0.0,100.0,100.0,25.0,25.0
Claude Sonnet 4,100000,50,0,100.0,100.0,25.0,25.0,75.0,75.0,75.0,75.0
Claude Sonnet 4,100000,50,33,100.0,100.0,75.0,75.0,75.0,75.0,25.0,25.0
Claude Sonnet 4,100000,50,67,50.0,50.0,75.0,25.0,25.0,25.0,50.0,0.0
Claude Sonnet 4,100000,50,100,100.0,100.0,50.0,50.0,75.0,75.0,0.0,0.0
Claude Sonnet 4,150000,50,0,50.0,50.0,50.0,50.0,0.0,0.0,25.0,0.0
Claude Sonnet 4,150000,50,33,25.0,25.0,50.0,25.0,0.0,0.0,50.0,0.0
Claude Sonnet 4,150000,50,67,0.0,0.0,50.0,0.0,0.0,0.0,50.0,0.0
Claude Sonnet 4,150000,50,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Claude Sonnet 4,200000,50,0,100.0,100.0,50.0,50.0,75.0,75.0,25.0,25.0
Claude Sonnet 4,200000,50,33,75.0,75.0,0.0,0.0,50.0,50.0,50.0,25.0
Claude Sonnet 4,200000,50,67,75.0,75.0,25.0,0.0,0.0,0.0,50.0,0.0
Claude Sonnet 4,200000,50,100,50.0,50.0,0.0,0.0,25.0,25.0,25.0,25.0
Claude Sonnet 4,250000,50,0,100.0,100.0,25.0,25.0,50.0,50.0,25.0,0.0
Claude Sonnet 4,250000,50,33,75.0,75.0,25.0,0.0,50.0,50.0,25.0,0.0
Claude Sonnet 4,250000,50,67,0.0,0.0,75.0,0.0,50.0,50.0,25.0,0.0
Claude Sonnet 4,250000,50,100,0.0,0.0,25.0,0.0,50.0,50.0,0.0,0.0
Claude Sonnet 4,300000,50,0,75.0,75.0,25.0,25.0,25.0,25.0,25.0,0.0
Claude Sonnet 4,300000,50,33,25.0,25.0,25.0,0.0,25.0,25.0,50.0,0.0
Claude Sonnet 4,300000,50,67,0.0,0.0,75.0,0.0,25.0,25.0,100.0,25.0
Claude Sonnet 4,300000,50,100,25.0,25.0,0.0,0.0,25.0,25.0,0.0,0.0
Claude Sonnet 4,350000,50,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Claude Sonnet 4,350000,50,33,0.0,0.0,75.0,0.0,0.0,0.0,75.0,0.0
Claude Sonnet 4,350000,50,67,0.0,0.0,25.0,0.0,0.0,0.0,50.0,0.0
Claude Sonnet 4,350000,50,100,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0
Claude Sonnet 4,400000,50,0,75.0,75.0,25.0,25.0,75.0,75.0,0.0,0.0
Claude Sonnet 4,400000,50,33,75.0,75.0,0.0,0.0,50.0,50.0,0.0,0.0
Claude Sonnet 4,400000,50,67,75.0,75.0,50.0,50.0,25.0,25.0,50.0,0.0
Claude Sonnet 4,400000,50,100,25.0,25.0,25.0,0.0,75.0,75.0,0.0,0.0
Claude Sonnet 4,450000,50,0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0
Claude Sonnet 4,450000,50,33,0.0,0.0,50.0,0.0,0.0,0.0,75.0,0.0
Claude Sonnet 4,450000,50,67,25.0,25.0,50.0,0.0,0.0,0.0,25.0,0.0
Claude Sonnet 4,450000,50,100,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0
Claude Sonnet 4,500000,50,0,75.0,75.0,25.0,0.0,50.0,50.0,25.0,25.0
Claude Sonnet 4,500000,50,33,25.0,25.0,50.0,25.0,0.0,0.0,75.0,0.0
Claude Sonnet 4,500000,50,67,25.0,25.0,50.0,0.0,0.0,0.0,50.0,0.0
Claude Sonnet 4,500000,50,100,50.0,50.0,25.0,0.0,0.0,0.0,25.0,0.0
Claude Sonnet 4,600000,50,0,75.0,75.0,50.0,50.0,0.0,0.0,0.0,0.0
Claude Sonnet 4,600000,50,33,50.0,50.0,50.0,0.0,0.0,0.0,25.0,0.0
Claude Sonnet 4,600000,50,67,25.0,25.0,75.0,0.0,0.0,0.0,25.0,0.0
Claude Sonnet 4,600000,50,100,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0
Claude Sonnet 4,650000,50,0,25.0,25.0,25.0,25.0,25.0,25.0,50.0,0.0
Claude Sonnet 4,650000,50,33,50.0,50.0,25.0,0.0,0.0,0.0,75.0,0.0
Claude Sonnet 4,650000,50,67,0.0,0.0,100.0,0.0,0.0,0.0,50.0,0.0
Claude Sonnet 4,650000,50,100,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0
Claude Sonnet 4,700000,50,0,50.0,25.0,25.0,0.0,25.0,25.0,75.0,0.0
Claude Sonnet 4,700000,50,33,75.0,50.0,50.0,0.0,50.0,50.0,0.0,0.0
Claude Sonnet 4,700000,50,67,0.0,0.0,100.0,0.0,0.0,0.0,25.0,0.0
Claude Sonnet 4,700000,50,100,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0
Claude Sonnet 4.5,10000,50,0,100.0,100.0,0.0,0.0,100.0,100.0,0.0,0.0
Claude Sonnet 4.5,10000,50,33,100.0,100.0,0.0,0.0,100.0,100.0,0.0,0.0
Claude Sonnet 4.5,10000,50,67,100.0,100.0,0.0,0.0,100.0,100.0,0.0,0.0
Claude Sonnet 4.5,10000,50,100,100.0,100.0,25.0,25.0,100.0,100.0,0.0,0.0
Claude Sonnet 4.5,20000,50,0,100.0,100.0,50.0,50.0,100.0,100.0,25.0,25.0
Claude Sonnet 4.5,20000,50,33,100.0,100.0,25.0,25.0,100.0,100.0,0.0,0.0
Claude Sonnet 4.5,20000,50,67,100.0,100.0,50.0,50.0,100.0,100.0,25.0,25.0
Claude Sonnet 4.5,20000,50,100,100.0,100.0,50.0,50.0,100.0,100.0,0.0,0.0
Claude Sonnet 4.5,30000,50,0,75.0,75.0,0.0,0.0,100.0,100.0,0.0,0.0
Claude Sonnet 4.5,30000,50,33,100.0,100.0,25.0,25.0,100.0,100.0,0.0,0.0
Claude Sonnet 4.5,30000,50,67,50.0,50.0,25.0,25.0,75.0,75.0,50.0,25.0
Claude Sonnet 4.5,30000,50,100,100.0,100.0,0.0,0.0,100.0,100.0,0.0,0.0
Claude Sonnet 4.5,40000,50,0,100.0,100.0,25.0,25.0,50.0,50.0,25.0,0.0
Claude Sonnet 4.5,40000,50,33,100.0,100.0,0.0,0.0,75.0,75.0,0.0,0.0
Claude Sonnet 4.5,40000,50,67,75.0,75.0,0.0,0.0,50.0,50.0,25.0,0.0
Claude Sonnet 4.5,40000,50,100,100.0,100.0,25.0,25.0,100.0,100.0,0.0,0.0
Claude Sonnet 4.5,50000,50,0,100.0,100.0,50.0,50.0,100.0,100.0,75.0,75.0
Claude Sonnet 4.5,50000,50,33,100.0,100.0,0.0,0.0,100.0,100.0,0.0,0.0
Claude Sonnet 4.5,50000,50,67,100.0,100.0,50.0,50.0,100.0,100.0,25.0,25.0
Claude Sonnet 4.5,50000,50,100,100.0,100.0,50.0,50.0,100.0,100.0,25.0,25.0
Claude Sonnet 4.5,60000,50,0,100.0,100.0,50.0,50.0,100.0,100.0,25.0,25.0
Claude Sonnet 4.5,60000,50,33,100.0,100.0,50.0,50.0,100.0,100.0,50.0,50.0
Claude Sonnet 4.5,60000,50,67,75.0,75.0,75.0,50.0,25.0,25.0,0.0,0.0
Claude Sonnet 4.5,60000,50,100,100.0,100.0,0.0,0.0,100.0,100.0,25.0,25.0
Claude Sonnet 4.5,70000,50,0,100.0,100.0,0.0,0.0,100.0,100.0,0.0,0.0
Claude Sonnet 4.5,70000,50,33,100.0,100.0,0.0,0.0,75.0,75.0,0.0,0.0
Claude Sonnet 4.5,70000,50,67,100.0,100.0,25.0,25.0,50.0,50.0,25.0,0.0
Claude Sonnet 4.5,70000,50,100,100.0,100.0,0.0,0.0,100.0,100.0,0.0,0.0
Claude Sonnet 4.5,80000,50,0,75.0,75.0,0.0,0.0,100.0,100.0,25.0,25.0
Claude Sonnet 4.5,80000,50,33,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
Claude Sonnet 4.5,80000,50,67,100.0,100.0,25.0,25.0,50.0,50.0,25.0,0.0
Claude Sonnet 4.5,80000,50,100,75.0,75.0,0.0,0.0,100.0,100.0,0.0,0.0
Claude Sonnet 4.5,90000,50,0,100.0,100.0,0.0,0.0,100.0,100.0,0.0,0.0
Claude Sonnet 4.5,90000,50,33,100.0,100.0,0.0,0.0,100.0,100.0,25.0,25.0
Claude Sonnet 4.5,90000,50,67,100.0,100.0,25.0,25.0,50.0,50.0,100.0,50.0
Claude Sonnet 4.5,90000,50,100,100.0,100.0,0.0,0.0,100.0,100.0,0.0,0.0
Claude Sonnet 4.5,100000,50,0,100.0,100.0,0.0,0.0,100.0,100.0,0.0,0.0
Claude Sonnet 4.5,100000,50,33,100.0,100.0,25.0,25.0,0.0,0.0,0.0,0.0
Claude Sonnet 4.5,100000,50,67,25.0,25.0,75.0,0.0,25.0,25.0,50.0,25.0
Claude Sonnet 4.5,100000,50,100,100.0,100.0,0.0,0.0,100.0,100.0,0.0,0.0
Claude Sonnet 4.5,150000,50,0,25.0,25.0,25.0,25.0,25.0,25.0,75.0,25.0
Claude Sonnet 4.5,150000,50,33,50.0,50.0,100.0,50.0,0.0,0.0,50.0,0.0
Claude Sonnet 4.5,150000,50,67,75.0,75.0,75.0,75.0,25.0,25.0,50.0,0.0
Claude Sonnet 4.5,150000,50,100,50.0,50.0,25.0,25.0,100.0,100.0,25.0,25.0
Claude Sonnet 4.5,200000,50,0,75.0,75.0,25.0,25.0,75.0,75.0,25.0,0.0
Claude Sonnet 4.5,200000,50,33,50.0,50.0,50.0,0.0,0.0,0.0,100.0,0.0
Claude Sonnet 4.5,200000,50,67,25.0,25.0,50.0,0.0,25.0,25.0,50.0,0.0
Claude Sonnet 4.5,200000,50,100,100.0,100.0,0.0,0.0,100.0,100.0,0.0,0.0
Claude Sonnet 4.5,250000,50,0,75.0,100.0,0.0,0.0,75.0,75.0,0.0,0.0
Claude Sonnet 4.5,250000,50,33,50.0,50.0,75.0,25.0,25.0,25.0,75.0,0.0
Claude Sonnet 4.5,250000,50,67,50.0,50.0,75.0,25.0,25.0,25.0,75.0,0.0
Claude Sonnet 4.5,250000,50,100,100.0,100.0,0.0,0.0,75.0,75.0,25.0,0.0
Claude Sonnet 4.5,300000,50,0,100.0,100.0,0.0,0.0,0.0,0.0,25.0,0.0
Claude Sonnet 4.5,300000,50,33,75.0,75.0,25.0,0.0,0.0,0.0,100.0,0.0
Claude Sonnet 4.5,300000,50,67,25.0,25.0,75.0,0.0,0.0,0.0,50.0,0.0
Claude Sonnet 4.5,300000,50,100,25.0,25.0,0.0,0.0,0.0,0.0,25.0,0.0
Claude Sonnet 4.5,350000,50,0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0
Claude Sonnet 4.5,350000,50,33,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0
Claude Sonnet 4.5,350000,50,67,0.0,0.0,100.0,0.0,0.0,0.0,75.0,0.0
Claude Sonnet 4.5,350000,50,100,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0
Claude Sonnet 4.5,400000,50,0,100.0,100.0,0.0,0.0,75.0,100.0,0.0,0.0
Claude Sonnet 4.5,400000,50,33,100.0,100.0,25.0,25.0,75.0,75.0,0.0,0.0
Claude Sonnet 4.5,400000,50,67,75.0,75.0,0.0,0.0,0.0,25.0,25.0,0.0
Claude Sonnet 4.5,400000,50,100,100.0,100.0,0.0,0.0,50.0,50.0,0.0,0.0
Claude Sonnet 4.5,450000,50,0,0.0,0.0,50.0,0.0,0.0,0.0,25.0,0.0
Claude Sonnet 4.5,450000,50,33,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0
Claude Sonnet 4.5,450000,50,67,25.0,25.0,25.0,0.0,0.0,0.0,25.0,0.0
Claude Sonnet 4.5,450000,50,100,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0
Claude Sonnet 4.5,500000,50,0,100.0,100.0,0.0,0.0,50.0,50.0,0.0,0.0
Claude Sonnet 4.5,500000,50,33,25.0,50.0,50.0,0.0,0.0,0.0,50.0,0.0
Claude Sonnet 4.5,500000,50,67,25.0,50.0,25.0,0.0,0.0,50.0,25.0,0.0
Claude Sonnet 4.5,500000,50,100,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
Claude Sonnet 4.5,600000,50,0,50.0,25.0,25.0,0.0,0.0,0.0,100.0,0.0
Claude Sonnet 4.5,600000,50,33,25.0,0.0,50.0,0.0,0.0,0.0,75.0,0.0
Claude Sonnet 4.5,600000,50,67,50.0,25.0,25.0,0.0,0.0,0.0,75.0,0.0
Claude Sonnet 4.5,600000,50,100,0.0,0.0,25.0,0.0,0.0,0.0,100.0,0.0
Claude Sonnet 4.5,650000,50,0,25.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0
Claude Sonnet 4.5,650000,50,33,50.0,0.0,50.0,0.0,50.0,0.0,0.0,0.0
Claude Sonnet 4.5,650000,50,67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Claude Sonnet 4.5,650000,50,100,0.0,0.0,25.0,0.0,25.0,0.0,25.0,0.0
Claude Sonnet 4.5,700000,50,0,25.0,25.0,25.0,0.0,25.0,25.0,0.0,0.0
Claude Sonnet 4.5,700000,50,33,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Claude Sonnet 4.5,700000,50,67,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0
Claude Sonnet 4.5,700000,50,100,25.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0
Gemini 2.5 Flash,10000,50,0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Gemini 2.5 Flash,10000,50,33,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Gemini 2.5 Flash,10000,50,67,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Gemini 2.5 Flash,10000,50,100,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Gemini 2.5 Flash,20000,50,0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Gemini 2.5 Flash,20000,50,33,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Gemini 2.5 Flash,20000,50,67,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Gemini 2.5 Flash,20000,50,100,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Gemini 2.5 Flash,30000,50,0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Gemini 2.5 Flash,30000,50,33,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Gemini 2.5 Flash,30000,50,67,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Gemini 2.5 Flash,30000,50,100,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Gemini 2.5 Flash,40000,50,0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Gemini 2.5 Flash,40000,50,33,75.0,75.0,100.0,75.0,100.0,100.0,100.0,100.0
Gemini 2.5 Flash,40000,50,67,100.0,100.0,100.0,100.0,75.0,75.0,75.0,75.0
Gemini 2.5 Flash,40000,50,100,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Gemini 2.5 Flash,50000,50,0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Gemini 2.5 Flash,50000,50,33,100.0,100.0,75.0,75.0,75.0,75.0,75.0,75.0
Gemini 2.5 Flash,50000,50,67,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Gemini 2.5 Flash,50000,50,100,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Gemini 2.5 Flash,60000,50,0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Gemini 2.5 Flash,60000,50,33,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Gemini 2.5 Flash,60000,50,67,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0
Gemini 2.5 Flash,60000,50,100,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Gemini 2.5 Flash,70000,50,0,100.0,100.0,75.0,75.0,100.0,100.0,100.0,100.0
Gemini 2.5 Flash,70000,50,33,100.0,100.0,100.0,100.0,50.0,50.0,50.0,50.0
Gemini 2.5 Flash,70000,50,67,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Gemini 2.5 Flash,70000,50,100,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0
Gemini 2.5 Flash,80000,50,0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Gemini 2.5 Flash,80000,50,33,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Gemini 2.5 Flash,80000,50,67,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Gemini 2.5 Flash,80000,50,100,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Gemini 2.5 Flash,90000,50,0,75.0,75.0,75.0,75.0,100.0,100.0,100.0,100.0
Gemini 2.5 Flash,90000,50,33,75.0,75.0,75.0,75.0,100.0,100.0,100.0,100.0
Gemini 2.5 Flash,90000,50,67,100.0,100.0,100.0,100.0,75.0,75.0,75.0,75.0
Gemini 2.5 Flash,90000,50,100,100.0,100.0,100.0,100.0,75.0,75.0,75.0,75.0
Gemini 2.5 Flash,100000,50,0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Gemini 2.5 Flash,100000,50,33,100.0,100.0,100.0,100.0,50.0,50.0,50.0,50.0
Gemini 2.5 Flash,100000,50,67,100.0,100.0,100.0,100.0,75.0,75.0,75.0,75.0
Gemini 2.5 Flash,100000,50,100,100.0,100.0,100.0,100.0,50.0,50.0,50.0,50.0
Gemini 2.5 Flash,150000,50,0,75.0,75.0,75.0,75.0,100.0,100.0,100.0,100.0
Gemini 2.5 Flash,150000,50,33,100.0,100.0,100.0,100.0,75.0,75.0,75.0,75.0
Gemini 2.5 Flash,150000,50,67,75.0,75.0,75.0,75.0,50.0,50.0,50.0,50.0
Gemini 2.5 Flash,150000,50,100,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Gemini 2.5 Flash,200000,50,0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Gemini 2.5 Flash,200000,50,33,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Gemini 2.5 Flash,200000,50,67,75.0,75.0,100.0,75.0,50.0,50.0,50.0,50.0
Gemini 2.5 Flash,200000,50,100,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0
Gemini 2.5 Flash,250000,50,0,100.0,100.0,100.0,100.0,75.0,75.0,75.0,75.0
Gemini 2.5 Flash,250000,50,33,100.0,100.0,100.0,100.0,50.0,50.0,75.0,50.0
Gemini 2.5 Flash,250000,50,67,50.0,50.0,75.0,50.0,50.0,50.0,50.0,50.0
Gemini 2.5 Flash,250000,50,100,100.0,100.0,100.0,100.0,75.0,75.0,75.0,75.0
Gemini 2.5 Flash,300000,50,0,25.0,25.0,50.0,25.0,25.0,25.0,25.0,25.0
Gemini 2.5 Flash,300000,50,33,75.0,75.0,100.0,75.0,50.0,50.0,50.0,50.0
Gemini 2.5 Flash,300000,50,67,25.0,25.0,50.0,25.0,0.0,0.0,25.0,0.0
Gemini 2.5 Flash,300000,50,100,50.0,50.0,75.0,50.0,25.0,25.0,25.0,0.0
Gemini 2.5 Flash,350000,50,0,50.0,50.0,50.0,50.0,50.0,50.0,75.0,50.0
Gemini 2.5 Flash,350000,50,33,75.0,75.0,100.0,75.0,25.0,25.0,50.0,25.0
Gemini 2.5 Flash,350000,50,67,50.0,50.0,75.0,50.0,50.0,50.0,75.0,50.0
Gemini 2.5 Flash,350000,50,100,50.0,50.0,75.0,50.0,50.0,50.0,75.0,50.0
Gemini 2.5 Flash,400000,50,0,100.0,100.0,100.0,100.0,50.0,50.0,50.0,50.0
Gemini 2.5 Flash,400000,50,33,100.0,100.0,100.0,100.0,25.0,25.0,75.0,25.0
Gemini 2.5 Flash,400000,50,67,75.0,75.0,75.0,75.0,100.0,100.0,100.0,100.0
Gemini 2.5 Flash,400000,50,100,100.0,100.0,0.0,0.0,75.0,75.0,0.0,0.0
Gemini 2.5 Flash,450000,50,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gemini 2.5 Flash,450000,50,33,50.0,50.0,75.0,50.0,0.0,0.0,25.0,0.0
Gemini 2.5 Flash,450000,50,67,25.0,25.0,100.0,25.0,0.0,0.0,50.0,0.0
Gemini 2.5 Flash,450000,50,100,33.33,33.33,100.0,33.33,25.0,25.0,25.0,25.0
Gemini 2.5 Flash,500000,50,0,100.0,100.0,100.0,100.0,50.0,50.0,50.0,50.0
Gemini 2.5 Flash,500000,50,33,0.0,0.0,100.0,0.0,25.0,25.0,75.0,25.0
Gemini 2.5 Flash,500000,50,67,50.0,50.0,75.0,25.0,50.0,50.0,100.0,50.0
Gemini 2.5 Flash,500000,50,100,100.0,100.0,100.0,100.0,75.0,75.0,75.0,75.0
Gemini 2.5 Flash,600000,50,0,100.0,100.0,75.0,75.0,50.0,50.0,50.0,50.0
