model,context_length,reasoning_hop,depth,combined_accuracy,answer_accuracy,evidence_accuracy
Claude Sonnet 4,10000,onehop,0,100.0,100.0,100.0
Claude Sonnet 4,10000,onehop,33,100.0,100.0,100.0
Claude Sonnet 4,10000,onehop,67,100.0,100.0,100.0
Claude Sonnet 4,10000,onehop,100,100.0,100.0,100.0
Claude Sonnet 4,10000,twohop,0,100.0,100.0,100.0
Claude Sonnet 4,10000,twohop,33,87.5,87.5,87.5
Claude Sonnet 4,10000,twohop,67,75.0,75.0,75.0
Claude Sonnet 4,10000,twohop,100,100.0,100.0,100.0
Claude Sonnet 4,20000,onehop,0,100.0,100.0,100.0
Claude Sonnet 4,20000,onehop,33,100.0,100.0,100.0
Claude Sonnet 4,20000,onehop,67,100.0,100.0,100.0
Claude Sonnet 4,20000,onehop,100,100.0,100.0,100.0
Claude Sonnet 4,20000,twohop,0,100.0,100.0,100.0
Claude Sonnet 4,20000,twohop,33,62.5,62.5,62.5
Claude Sonnet 4,20000,twohop,67,75.0,75.0,75.0
Claude Sonnet 4,20000,twohop,100,100.0,100.0,100.0
Claude Sonnet 4,30000,onehop,0,100.0,100.0,100.0
Claude Sonnet 4,30000,onehop,33,100.0,100.0,100.0
Claude Sonnet 4,30000,onehop,67,100.0,100.0,100.0
Claude Sonnet 4,30000,onehop,100,100.0,100.0,100.0
Claude Sonnet 4,30000,twohop,0,100.0,100.0,100.0
Claude Sonnet 4,30000,twohop,33,50.0,50.0,50.0
Claude Sonnet 4,30000,twohop,67,75.0,75.0,75.0
Claude Sonnet 4,30000,twohop,100,100.0,100.0,100.0
Claude Sonnet 4,40000,onehop,0,100.0,100.0,100.0
Claude Sonnet 4,40000,onehop,33,100.0,100.0,100.0
Claude Sonnet 4,40000,onehop,67,100.0,100.0,100.0
Claude Sonnet 4,40000,onehop,100,100.0,100.0,100.0
Claude Sonnet 4,40000,twohop,0,100.0,100.0,100.0
Claude Sonnet 4,40000,twohop,33,75.0,75.0,75.0
Claude Sonnet 4,40000,twohop,67,100.0,100.0,100.0
Claude Sonnet 4,40000,twohop,100,75.0,75.0,75.0
Claude Sonnet 4,50000,onehop,0,100.0,100.0,100.0
Claude Sonnet 4,50000,onehop,33,100.0,100.0,100.0
Claude Sonnet 4,50000,onehop,67,100.0,100.0,100.0
Claude Sonnet 4,50000,onehop,100,100.0,100.0,100.0
Claude Sonnet 4,50000,twohop,0,100.0,100.0,100.0
Claude Sonnet 4,50000,twohop,33,62.5,62.5,62.5
Claude Sonnet 4,50000,twohop,67,75.0,75.0,75.0
Claude Sonnet 4,50000,twohop,100,100.0,100.0,100.0
Claude Sonnet 4,60000,onehop,0,100.0,100.0,100.0
Claude Sonnet 4,60000,onehop,33,62.5,62.5,62.5
Claude Sonnet 4,60000,onehop,67,75.0,75.0,75.0
Claude Sonnet 4,60000,onehop,100,100.0,100.0,100.0
Claude Sonnet 4,60000,twohop,0,100.0,100.0,100.0
Claude Sonnet 4,60000,twohop,33,62.5,62.5,62.5
Claude Sonnet 4,60000,twohop,67,50.0,50.0,50.0
Claude Sonnet 4,60000,twohop,100,75.0,75.0,75.0
Claude Sonnet 4,70000,onehop,0,100.0,100.0,100.0
Claude Sonnet 4,70000,onehop,33,100.0,100.0,100.0
Claude Sonnet 4,70000,onehop,67,100.0,100.0,100.0
Claude Sonnet 4,70000,onehop,100,100.0,100.0,100.0
Claude Sonnet 4,70000,twohop,0,75.0,75.0,75.0
Claude Sonnet 4,70000,twohop,33,75.0,75.0,75.0
Claude Sonnet 4,70000,twohop,67,100.0,100.0,100.0
Claude Sonnet 4,70000,twohop,100,75.0,75.0,75.0
Claude Sonnet 4,80000,onehop,0,100.0,100.0,100.0
Claude Sonnet 4,80000,onehop,33,100.0,100.0,100.0
Claude Sonnet 4,80000,onehop,67,100.0,100.0,100.0
Claude Sonnet 4,80000,onehop,100,100.0,100.0,100.0
Claude Sonnet 4,80000,twohop,0,100.0,100.0,100.0
Claude Sonnet 4,80000,twohop,33,75.0,75.0,75.0
Claude Sonnet 4,80000,twohop,67,100.0,100.0,100.0
Claude Sonnet 4,80000,twohop,100,100.0,100.0,100.0
Claude Sonnet 4,90000,onehop,0,100.0,100.0,100.0
Claude Sonnet 4,90000,onehop,33,87.5,87.5,87.5
Claude Sonnet 4,90000,onehop,67,75.0,75.0,75.0
Claude Sonnet 4,90000,onehop,100,100.0,100.0,100.0
Claude Sonnet 4,90000,twohop,0,75.0,75.0,75.0
Claude Sonnet 4,90000,twohop,33,50.0,50.0,50.0
Claude Sonnet 4,90000,twohop,67,50.0,50.0,50.0
Claude Sonnet 4,90000,twohop,100,100.0,100.0,100.0
Claude Sonnet 4,100000,onehop,0,100.0,100.0,100.0
Claude Sonnet 4,100000,onehop,33,87.5,87.5,87.5
Claude Sonnet 4,100000,onehop,67,100.0,100.0,100.0
Claude Sonnet 4,100000,onehop,100,100.0,100.0,100.0
Claude Sonnet 4,100000,twohop,0,100.0,100.0,100.0
Claude Sonnet 4,100000,twohop,33,62.5,62.5,62.5
Claude Sonnet 4,100000,twohop,67,100.0,100.0,100.0
Claude Sonnet 4,100000,twohop,100,75.0,75.0,75.0
Claude Sonnet 4,150000,onehop,0,100.0,100.0,100.0
Claude Sonnet 4,150000,onehop,33,50.0,50.0,50.0
Claude Sonnet 4,150000,onehop,67,100.0,100.0,100.0
Claude Sonnet 4,150000,onehop,100,100.0,100.0,100.0
Claude Sonnet 4,150000,twohop,0,75.0,75.0,75.0
Claude Sonnet 4,150000,twohop,33,0.0,0.0,0.0
Claude Sonnet 4,150000,twohop,67,25.0,25.0,25.0
Claude Sonnet 4,150000,twohop,100,50.0,50.0,50.0
Claude Sonnet 4,200000,onehop,0,100.0,100.0,100.0
Claude Sonnet 4,200000,onehop,33,75.0,75.0,75.0
Claude Sonnet 4,200000,onehop,67,100.0,100.0,100.0
Claude Sonnet 4,200000,onehop,100,100.0,100.0,100.0
Claude Sonnet 4,200000,twohop,0,75.0,75.0,75.0
Claude Sonnet 4,200000,twohop,33,25.0,25.0,25.0
Claude Sonnet 4,200000,twohop,67,50.0,50.0,50.0
Claude Sonnet 4,200000,twohop,100,100.0,100.0,100.0
Claude Sonnet 4,250000,onehop,0,100.0,100.0,100.0
Claude Sonnet 4,250000,onehop,33,50.0,50.0,50.0
Claude Sonnet 4,250000,onehop,67,75.0,75.0,75.0
Claude Sonnet 4,250000,onehop,100,100.0,100.0,100.0
Claude Sonnet 4,250000,twohop,0,100.0,100.0,100.0
Claude Sonnet 4,250000,twohop,33,0.0,0.0,0.0
Claude Sonnet 4,250000,twohop,67,25.0,25.0,25.0
Claude Sonnet 4,250000,twohop,100,75.0,75.0,75.0
Claude Sonnet 4,300000,onehop,0,100.0,100.0,100.0
Claude Sonnet 4,300000,onehop,33,75.0,75.0,75.0
Claude Sonnet 4,300000,onehop,67,100.0,100.0,100.0
Claude Sonnet 4,300000,onehop,100,100.0,100.0,100.0
Claude Sonnet 4,300000,twohop,0,50.0,50.0,50.0
Claude Sonnet 4,300000,twohop,33,50.0,50.0,62.5
Claude Sonnet 4,300000,twohop,67,75.0,75.0,75.0
Claude Sonnet 4,300000,twohop,100,75.0,75.0,75.0
Claude Sonnet 4,350000,onehop,0,100.0,100.0,100.0
Claude Sonnet 4,350000,onehop,33,50.0,50.0,50.0
Claude Sonnet 4,350000,onehop,67,75.0,75.0,75.0
Claude Sonnet 4,350000,onehop,100,100.0,100.0,100.0
Claude Sonnet 4,350000,twohop,0,100.0,100.0,100.0
Claude Sonnet 4,350000,twohop,33,25.0,25.0,25.0
Claude Sonnet 4,350000,twohop,67,0.0,0.0,0.0
Claude Sonnet 4,350000,twohop,100,100.0,100.0,100.0
Claude Sonnet 4,400000,onehop,0,100.0,100.0,100.0
Claude Sonnet 4,400000,onehop,33,50.0,50.0,50.0
Claude Sonnet 4,400000,onehop,67,100.0,100.0,100.0
Claude Sonnet 4,400000,onehop,100,100.0,100.0,100.0
Claude Sonnet 4,400000,twohop,0,75.0,75.0,75.0
Claude Sonnet 4,400000,twohop,33,0.0,0.0,0.0
Claude Sonnet 4,400000,twohop,67,50.0,50.0,50.0
Claude Sonnet 4,400000,twohop,100,100.0,100.0,100.0
Claude Sonnet 4,450000,onehop,0,100.0,100.0,100.0
Claude Sonnet 4,450000,onehop,33,100.0,100.0,100.0
Claude Sonnet 4,450000,onehop,67,100.0,100.0,100.0
Claude Sonnet 4,450000,onehop,100,50.0,100.0,50.0
Claude Sonnet 4,450000,twohop,0,100.0,100.0,100.0
Claude Sonnet 4,450000,twohop,33,25.0,25.0,25.0
Claude Sonnet 4,450000,twohop,67,25.0,25.0,25.0
Claude Sonnet 4,450000,twohop,100,100.0,100.0,100.0
Claude Sonnet 4,500000,onehop,0,100.0,100.0,100.0
Claude Sonnet 4,500000,onehop,33,50.0,50.0,50.0
Claude Sonnet 4,500000,onehop,67,75.0,75.0,75.0
Claude Sonnet 4,500000,onehop,100,100.0,100.0,100.0
Claude Sonnet 4,500000,twohop,0,100.0,100.0,100.0
Claude Sonnet 4,500000,twohop,33,0.0,0.0,0.0
Claude Sonnet 4,500000,twohop,67,50.0,50.0,50.0
Claude Sonnet 4,500000,twohop,100,75.0,75.0,75.0
Claude Sonnet 4,600000,onehop,0,100.0,100.0,100.0
Claude Sonnet 4,600000,onehop,33,62.5,62.5,62.5
Claude Sonnet 4,600000,onehop,67,100.0,100.0,100.0
Claude Sonnet 4,600000,onehop,100,100.0,100.0,100.0
Claude Sonnet 4,600000,twohop,0,75.0,75.0,75.0
Claude Sonnet 4,600000,twohop,33,25.0,37.5,25.0
Claude Sonnet 4,600000,twohop,67,100.0,100.0,100.0
Claude Sonnet 4,600000,twohop,100,100.0,100.0,100.0
Claude Sonnet 4,650000,onehop,0,100.0,100.0,100.0
Claude Sonnet 4,650000,onehop,33,25.0,50.0,25.0
Claude Sonnet 4,650000,onehop,67,100.0,100.0,100.0
Claude Sonnet 4,650000,onehop,100,100.0,100.0,100.0
Claude Sonnet 4,650000,twohop,0,50.0,50.0,50.0
Claude Sonnet 4,650000,twohop,33,0.0,0.0,0.0
Claude Sonnet 4,650000,twohop,67,25.0,25.0,50.0
Claude Sonnet 4,650000,twohop,100,100.0,100.0,100.0
Claude Sonnet 4,700000,onehop,0,100.0,100.0,100.0
Claude Sonnet 4,700000,onehop,33,33.33,50.0,33.33
Claude Sonnet 4,700000,onehop,67,50.0,50.0,50.0
Claude Sonnet 4,700000,onehop,100,75.0,100.0,75.0
Claude Sonnet 4,700000,twohop,0,100.0,100.0,100.0
Claude Sonnet 4,700000,twohop,33,0.0,0.0,0.0
Claude Sonnet 4,700000,twohop,67,0.0,0.0,0.0
Claude Sonnet 4,700000,twohop,100,100.0,100.0,100.0
Claude Sonnet 4.5,10000,onehop,0,100.0,100.0,100.0
Claude Sonnet 4.5,10000,onehop,33,100.0,100.0,100.0
Claude Sonnet 4.5,10000,onehop,67,100.0,100.0,100.0
Claude Sonnet 4.5,10000,onehop,100,100.0,100.0,100.0
Claude Sonnet 4.5,10000,twohop,0,100.0,100.0,100.0
Claude Sonnet 4.5,10000,twohop,33,100.0,100.0,100.0
Claude Sonnet 4.5,10000,twohop,67,100.0,100.0,100.0
Claude Sonnet 4.5,10000,twohop,100,100.0,100.0,100.0
Claude Sonnet 4.5,20000,onehop,0,100.0,100.0,100.0
Claude Sonnet 4.5,20000,onehop,33,100.0,100.0,100.0
Claude Sonnet 4.5,20000,onehop,67,100.0,100.0,100.0
Claude Sonnet 4.5,20000,onehop,100,100.0,100.0,100.0
Claude Sonnet 4.5,20000,twohop,0,100.0,100.0,100.0
Claude Sonnet 4.5,20000,twohop,33,100.0,100.0,100.0
Claude Sonnet 4.5,20000,twohop,67,100.0,100.0,100.0
Claude Sonnet 4.5,20000,twohop,100,100.0,100.0,100.0
Claude Sonnet 4.5,30000,onehop,0,100.0,100.0,100.0
Claude Sonnet 4.5,30000,onehop,33,100.0,100.0,100.0
Claude Sonnet 4.5,30000,onehop,67,100.0,100.0,100.0
Claude Sonnet 4.5,30000,onehop,100,100.0,100.0,100.0
Claude Sonnet 4.5,30000,twohop,0,100.0,100.0,100.0
Claude Sonnet 4.5,30000,twohop,33,100.0,100.0,100.0
Claude Sonnet 4.5,30000,twohop,67,75.0,75.0,75.0
Claude Sonnet 4.5,30000,twohop,100,100.0,100.0,100.0
Claude Sonnet 4.5,40000,onehop,0,100.0,100.0,100.0
Claude Sonnet 4.5,40000,onehop,33,100.0,100.0,100.0
Claude Sonnet 4.5,40000,onehop,67,100.0,100.0,100.0
Claude Sonnet 4.5,40000,onehop,100,75.0,100.0,75.0
Claude Sonnet 4.5,40000,twohop,0,100.0,100.0,100.0
Claude Sonnet 4.5,40000,twohop,33,83.33,83.33,83.33
Claude Sonnet 4.5,40000,twohop,67,100.0,100.0,100.0
Claude Sonnet 4.5,40000,twohop,100,100.0,100.0,100.0
Claude Sonnet 4.5,50000,onehop,0,100.0,100.0,100.0
Claude Sonnet 4.5,50000,onehop,33,100.0,100.0,100.0
Claude Sonnet 4.5,50000,onehop,67,100.0,100.0,100.0
Claude Sonnet 4.5,50000,onehop,100,100.0,100.0,100.0
Claude Sonnet 4.5,50000,twohop,0,100.0,100.0,100.0
Claude Sonnet 4.5,50000,twohop,33,83.33,83.33,83.33
Claude Sonnet 4.5,50000,twohop,67,100.0,100.0,100.0
Claude Sonnet 4.5,50000,twohop,100,100.0,100.0,100.0
Claude Sonnet 4.5,60000,onehop,0,100.0,100.0,100.0
Claude Sonnet 4.5,60000,onehop,33,66.67,66.67,66.67
Claude Sonnet 4.5,60000,onehop,67,100.0,100.0,100.0
Claude Sonnet 4.5,60000,onehop,100,100.0,100.0,100.0
Claude Sonnet 4.5,60000,twohop,0,100.0,100.0,100.0
Claude Sonnet 4.5,60000,twohop,33,75.0,75.0,75.0
Claude Sonnet 4.5,60000,twohop,67,75.0,75.0,75.0
Claude Sonnet 4.5,60000,twohop,100,100.0,100.0,100.0
Claude Sonnet 4.5,70000,onehop,0,100.0,100.0,100.0
Claude Sonnet 4.5,70000,onehop,33,100.0,100.0,100.0
Claude Sonnet 4.5,70000,onehop,67,100.0,100.0,100.0
Claude Sonnet 4.5,70000,onehop,100,100.0,100.0,100.0
Claude Sonnet 4.5,70000,twohop,0,100.0,100.0,100.0
Claude Sonnet 4.5,70000,twohop,33,100.0,100.0,100.0
Claude Sonnet 4.5,70000,twohop,67,100.0,100.0,100.0
Claude Sonnet 4.5,70000,twohop,100,100.0,100.0,100.0
Claude Sonnet 4.5,80000,onehop,0,100.0,100.0,100.0
Claude Sonnet 4.5,80000,onehop,33,75.0,75.0,75.0
Claude Sonnet 4.5,80000,onehop,67,100.0,100.0,100.0
Claude Sonnet 4.5,80000,onehop,100,100.0,100.0,100.0
Claude Sonnet 4.5,80000,twohop,0,100.0,100.0,100.0
Claude Sonnet 4.5,80000,twohop,33,100.0,100.0,100.0
Claude Sonnet 4.5,80000,twohop,67,100.0,100.0,100.0
Claude Sonnet 4.5,80000,twohop,100,75.0,100.0,75.0
Claude Sonnet 4.5,90000,onehop,0,100.0,100.0,100.0
Claude Sonnet 4.5,90000,onehop,33,100.0,100.0,100.0
Claude Sonnet 4.5,90000,onehop,67,100.0,100.0,100.0
Claude Sonnet 4.5,90000,onehop,100,100.0,100.0,100.0
Claude Sonnet 4.5,90000,twohop,0,100.0,100.0,100.0
Claude Sonnet 4.5,90000,twohop,33,62.5,62.5,87.5
Claude Sonnet 4.5,90000,twohop,67,100.0,100.0,100.0
Claude Sonnet 4.5,90000,twohop,100,100.0,100.0,100.0
Claude Sonnet 4.5,100000,onehop,0,100.0,100.0,100.0
Claude Sonnet 4.5,100000,onehop,33,75.0,75.0,75.0
Claude Sonnet 4.5,100000,onehop,67,100.0,100.0,100.0
Claude Sonnet 4.5,100000,onehop,100,100.0,100.0,100.0
Claude Sonnet 4.5,100000,twohop,0,75.0,75.0,75.0
Claude Sonnet 4.5,100000,twohop,33,75.0,75.0,87.5
Claude Sonnet 4.5,100000,twohop,67,75.0,75.0,75.0
Claude Sonnet 4.5,100000,twohop,100,100.0,100.0,100.0
Claude Sonnet 4.5,150000,onehop,0,100.0,100.0,100.0
Claude Sonnet 4.5,150000,onehop,33,50.0,50.0,50.0
Claude Sonnet 4.5,150000,onehop,67,100.0,100.0,100.0
Claude Sonnet 4.5,150000,onehop,100,100.0,100.0,100.0
Claude Sonnet 4.5,150000,twohop,0,100.0,100.0,100.0
Claude Sonnet 4.5,150000,twohop,33,25.0,25.0,25.0
Claude Sonnet 4.5,150000,twohop,67,100.0,100.0,100.0
Claude Sonnet 4.5,150000,twohop,100,100.0,100.0,100.0
Claude Sonnet 4.5,200000,onehop,0,100.0,100.0,100.0
Claude Sonnet 4.5,200000,onehop,33,83.33,83.33,83.33
Claude Sonnet 4.5,200000,onehop,67,100.0,100.0,100.0
Claude Sonnet 4.5,200000,onehop,100,100.0,100.0,100.0
Claude Sonnet 4.5,200000,twohop,0,100.0,100.0,100.0
Claude Sonnet 4.5,200000,twohop,33,33.33,33.33,66.67
Claude Sonnet 4.5,200000,twohop,67,25.0,25.0,25.0
Claude Sonnet 4.5,200000,twohop,100,100.0,100.0,100.0
Claude Sonnet 4.5,250000,onehop,0,100.0,100.0,100.0
Claude Sonnet 4.5,250000,onehop,33,75.0,75.0,75.0
Claude Sonnet 4.5,250000,onehop,67,75.0,75.0,75.0
Claude Sonnet 4.5,250000,onehop,100,100.0,100.0,100.0
Claude Sonnet 4.5,250000,twohop,0,100.0,100.0,100.0
Claude Sonnet 4.5,250000,twohop,33,0.0,0.0,0.0
Claude Sonnet 4.5,250000,twohop,67,50.0,50.0,50.0
Claude Sonnet 4.5,250000,twohop,100,100.0,100.0,100.0
Claude Sonnet 4.5,300000,onehop,0,100.0,100.0,100.0
Claude Sonnet 4.5,300000,onehop,33,75.0,75.0,75.0
Claude Sonnet 4.5,300000,onehop,67,100.0,100.0,100.0
Claude Sonnet 4.5,300000,onehop,100,100.0,100.0,100.0
Claude Sonnet 4.5,300000,twohop,0,100.0,100.0,100.0
Claude Sonnet 4.5,300000,twohop,33,33.33,33.33,50.0
Claude Sonnet 4.5,300000,twohop,67,25.0,25.0,25.0
Claude Sonnet 4.5,300000,twohop,100,75.0,100.0,75.0
Claude Sonnet 4.5,350000,onehop,0,100.0,100.0,100.0
Claude Sonnet 4.5,350000,onehop,33,75.0,75.0,75.0
Claude Sonnet 4.5,350000,onehop,67,100.0,100.0,100.0
Claude Sonnet 4.5,350000,onehop,100,100.0,100.0,100.0
Claude Sonnet 4.5,350000,twohop,0,75.0,75.0,75.0
Claude Sonnet 4.5,350000,twohop,33,0.0,0.0,0.0
Claude Sonnet 4.5,350000,twohop,67,25.0,25.0,50.0
Claude Sonnet 4.5,350000,twohop,100,100.0,100.0,100.0
Claude Sonnet 4.5,400000,onehop,0,100.0,100.0,100.0
Claude Sonnet 4.5,400000,onehop,33,50.0,50.0,75.0
Claude Sonnet 4.5,400000,onehop,67,75.0,100.0,75.0
Claude Sonnet 4.5,400000,onehop,100,100.0,100.0,100.0
Claude Sonnet 4.5,400000,twohop,0,100.0,100.0,100.0
Claude Sonnet 4.5,400000,twohop,33,16.67,16.67,33.33
Claude Sonnet 4.5,400000,twohop,67,50.0,100.0,50.0
Claude Sonnet 4.5,400000,twohop,100,100.0,100.0,100.0
Claude Sonnet 4.5,450000,onehop,0,100.0,100.0,100.0
Claude Sonnet 4.5,450000,onehop,33,50.0,100.0,50.0
Claude Sonnet 4.5,450000,onehop,67,75.0,75.0,100.0
Claude Sonnet 4.5,450000,onehop,100,100.0,100.0,100.0
Claude Sonnet 4.5,450000,twohop,0,100.0,100.0,100.0
Claude Sonnet 4.5,450000,twohop,33,25.0,50.0,50.0
Claude Sonnet 4.5,450000,twohop,67,25.0,25.0,25.0
Claude Sonnet 4.5,450000,twohop,100,100.0,100.0,100.0
Claude Sonnet 4.5,500000,onehop,0,100.0,100.0,100.0
Claude Sonnet 4.5,500000,onehop,33,25.0,50.0,25.0
Claude Sonnet 4.5,500000,onehop,67,50.0,50.0,50.0
Claude Sonnet 4.5,500000,onehop,100,100.0,100.0,100.0
Claude Sonnet 4.5,500000,twohop,0,100.0,100.0,100.0
Claude Sonnet 4.5,500000,twohop,33,0.0,0.0,0.0
Claude Sonnet 4.5,500000,twohop,67,0.0,0.0,0.0
Claude Sonnet 4.5,500000,twohop,100,100.0,100.0,100.0
Claude Sonnet 4.5,600000,onehop,0,100.0,100.0,100.0
Claude Sonnet 4.5,600000,onehop,33,50.0,50.0,50.0
Claude Sonnet 4.5,600000,onehop,67,100.0,100.0,100.0
Claude Sonnet 4.5,600000,onehop,100,100.0,100.0,100.0
Claude Sonnet 4.5,600000,twohop,0,100.0,100.0,100.0
Claude Sonnet 4.5,600000,twohop,33,0.0,0.0,0.0
Claude Sonnet 4.5,600000,twohop,67,100.0,100.0,100.0
Claude Sonnet 4.5,600000,twohop,100,100.0,100.0,100.0
Claude Sonnet 4.5,650000,onehop,0,100.0,100.0,100.0
Claude Sonnet 4.5,650000,onehop,33,50.0,75.0,50.0
Claude Sonnet 4.5,650000,onehop,67,75.0,75.0,75.0
Claude Sonnet 4.5,650000,onehop,100,75.0,100.0,75.0
Claude Sonnet 4.5,650000,twohop,0,100.0,100.0,100.0
Claude Sonnet 4.5,650000,twohop,33,25.0,75.0,25.0
Claude Sonnet 4.5,650000,twohop,67,25.0,25.0,25.0
Claude Sonnet 4.5,650000,twohop,100,100.0,100.0,100.0
Claude Sonnet 4.5,700000,onehop,0,100.0,100.0,100.0
Claude Sonnet 4.5,700000,onehop,33,50.0,50.0,50.0
Claude Sonnet 4.5,700000,onehop,67,0.0,50.0,25.0
Claude Sonnet 4.5,700000,onehop,100,75.0,100.0,75.0
Claude Sonnet 4.5,700000,twohop,0,100.0,100.0,100.0
Claude Sonnet 4.5,700000,twohop,33,0.0,0.0,0.0
Claude Sonnet 4.5,700000,twohop,67,0.0,0.0,0.0
Claude Sonnet 4.5,700000,twohop,100,50.0,100.0,50.0
GPT-4.1,10000,onehop,0,100.0,100.0,100.0
GPT-4.1,10000,onehop,33,100.0,100.0,100.0
GPT-4.1,10000,onehop,67,100.0,100.0,100.0
GPT-4.1,10000,onehop,100,100.0,100.0,100.0
