model,reasoning_hop,context_length,T01,T04,delta_t04_minus_t01
claude-sonnet-4-20250514,onehop,10000,0.9245283018867925,0.9807692307692307,5.624092888243826
claude-sonnet-4-20250514,onehop,20000,0.9811320754716981,0.9134615384615384,-6.767053701015968
claude-sonnet-4-20250514,onehop,30000,0.9537037037037037,0.9903846153846154,3.66809116809117
claude-sonnet-4-20250514,onehop,40000,0.9636363636363636,0.9134615384615384,-5.017482517482518
claude-sonnet-4-20250514,onehop,50000,0.9433962264150944,0.9038461538461539,-3.9550072568940497
claude-sonnet-4-20250514,onehop,60000,0.9711538461538461,0.9615384615384616,-0.9615384615384581
claude-sonnet-4-20250514,onehop,70000,0.9339622641509434,0.9519230769230769,1.796081277213346
claude-sonnet-4-20250514,onehop,80000,0.9230769230769231,0.9326923076923077,0.9615384615384581
claude-sonnet-4-20250514,onehop,90000,0.9056603773584906,0.9134615384615384,0.7801161103047849
claude-sonnet-4-20250514,onehop,100000,0.9528301886792453,0.8365384615384616,-11.629172714078372
claude-sonnet-4-20250514,onehop,150000,0.875,0.9375,6.25
claude-sonnet-4-20250514,onehop,200000,0.7788461538461539,0.875,9.615384615384615
claude-sonnet-4-20250514,onehop,250000,0.9375,0.8125,-12.5
claude-sonnet-4-20250514,onehop,300000,0.8490566037735849,0.8269230769230769,-2.2133526850508067
claude-sonnet-4-20250514,onehop,350000,0.9375,0.875,-6.25
claude-sonnet-4-20250514,onehop,400000,0.7685185185185185,0.7019230769230769,-6.659544159544161
claude-sonnet-4-20250514,onehop,450000,0.875,0.8125,-6.25
claude-sonnet-4-20250514,onehop,500000,0.7884615384615384,0.7211538461538461,-6.730769230769229
claude-sonnet-4-20250514,onehop,600000,0.8301886792452831,0.6923076923076923,-13.788098693759077
claude-sonnet-4-20250514,onehop,650000,0.8125,0.875,6.25
claude-sonnet-4-20250514,onehop,700000,0.47619047619047616,0.6219512195121951,14.576074332171896
claude-sonnet-4-20250514,twohop,10000,0.8773584905660378,0.7692307692307693,-10.812772133526849
claude-sonnet-4-20250514,twohop,20000,0.7830188679245284,0.8269230769230769,4.390420899854853
claude-sonnet-4-20250514,twohop,30000,0.8173076923076923,0.9134615384615384,9.615384615384615
claude-sonnet-4-20250514,twohop,40000,0.8611111111111112,0.5673076923076923,-29.380341880341888
claude-sonnet-4-20250514,twohop,50000,0.8240740740740741,0.7403846153846154,-8.368945868945865
claude-sonnet-4-20250514,twohop,60000,0.75,0.7884615384615384,3.8461538461538436
claude-sonnet-4-20250514,twohop,70000,0.7592592592592593,0.7403846153846154,-1.8874643874643882
claude-sonnet-4-20250514,twohop,80000,0.6698113207547169,0.6442307692307693,-2.558055152394767
claude-sonnet-4-20250514,twohop,90000,0.7037037037037037,0.5961538461538461,-10.754985754985757
claude-sonnet-4-20250514,twohop,100000,0.6296296296296297,0.6442307692307693,1.4601139601139623
claude-sonnet-4-20250514,twohop,150000,0.375,0.6875,31.25
claude-sonnet-4-20250514,twohop,200000,0.6018518518518519,0.4423076923076923,-15.954415954415957
claude-sonnet-4-20250514,twohop,250000,0.5,0.625,12.5
claude-sonnet-4-20250514,twohop,300000,0.5092592592592593,0.49038461538461536,-1.8874643874643937
claude-sonnet-4-20250514,twohop,350000,0.5625,0.5625,0.0
claude-sonnet-4-20250514,twohop,400000,0.25,0.3269230769230769,7.6923076923076925
claude-sonnet-4-20250514,twohop,450000,0.6875,0.625,-6.25
claude-sonnet-4-20250514,twohop,500000,0.32075471698113206,0.4230769230769231,10.232220609579102
claude-sonnet-4-20250514,twohop,600000,0.39814814814814814,0.4423076923076923,4.415954415954415
claude-sonnet-4-20250514,twohop,650000,0.375,0.6666666666666666,29.166666666666664
claude-sonnet-4-20250514,twohop,700000,0.18333333333333332,0.25961538461538464,7.628205128205131
claude-sonnet-4-5-20250929,onehop,10000,0.9423076923076923,0.9807692307692307,3.8461538461538436
claude-sonnet-4-5-20250929,onehop,20000,0.9907407407407407,0.9230769230769231,-6.766381766381757
claude-sonnet-4-5-20250929,onehop,30000,0.9807692307692307,0.9512195121951219,-2.954971857410882
claude-sonnet-4-5-20250929,onehop,40000,0.9534883720930233,0.9423076923076923,-1.1180679785330994
claude-sonnet-4-5-20250929,onehop,50000,0.9615384615384616,0.9512195121951219,-1.0318949343339656
claude-sonnet-4-5-20250929,onehop,60000,0.8292682926829268,0.9146341463414634,8.536585365853666
claude-sonnet-4-5-20250929,onehop,70000,1.0,0.8166666666666667,-18.333333333333336
claude-sonnet-4-5-20250929,onehop,80000,0.9333333333333333,0.9666666666666667,3.3333333333333326
claude-sonnet-4-5-20250929,onehop,90000,0.8942307692307693,0.8902439024390244,-0.39868667917448697
claude-sonnet-4-5-20250929,onehop,100000,0.9375,0.8333333333333334,-10.416666666666663
claude-sonnet-4-5-20250929,onehop,150000,0.875,0.9375,6.25
claude-sonnet-4-5-20250929,onehop,200000,0.9166666666666666,0.6341463414634146,-28.252032520325198
claude-sonnet-4-5-20250929,onehop,250000,1.0,0.875,-12.5
claude-sonnet-4-5-20250929,onehop,300000,0.8953488372093024,0.631578947368421,-26.376988984088136
claude-sonnet-4-5-20250929,onehop,350000,0.875,0.8125,-6.25
claude-sonnet-4-5-20250929,onehop,400000,0.7441860465116279,0.5769230769230769,-16.7262969588551
claude-sonnet-4-5-20250929,onehop,450000,0.8125,0.9375,12.5
claude-sonnet-4-5-20250929,onehop,500000,0.85,0.6951219512195121,-15.487804878048783
claude-sonnet-4-5-20250929,onehop,600000,0.875,0.8125,-6.25
claude-sonnet-4-5-20250929,onehop,650000,0.75,0.75,0.0
claude-sonnet-4-5-20250929,onehop,700000,0.5625,0.5625,0.0
claude-sonnet-4-5-20250929,twohop,10000,0.9326923076923077,0.9711538461538461,3.8461538461538436
claude-sonnet-4-5-20250929,twohop,20000,0.9622641509433962,0.9519230769230769,-1.0341074020319363
claude-sonnet-4-5-20250929,twohop,30000,0.8981481481481481,0.9903846153846154,9.223646723646727
claude-sonnet-4-5-20250929,twohop,40000,0.9811320754716981,0.9210526315789473,-6.007944389275077
claude-sonnet-4-5-20250929,twohop,50000,0.9056603773584906,0.8942307692307693,-1.1429608127721314
claude-sonnet-4-5-20250929,twohop,60000,0.95,0.7666666666666667,-18.333333333333325
claude-sonnet-4-5-20250929,twohop,70000,0.9032258064516129,0.9146341463414634,1.1408339889850572
claude-sonnet-4-5-20250929,twohop,80000,0.7804878048780488,0.7980769230769231,1.758911819887432
claude-sonnet-4-5-20250929,twohop,90000,0.8653846153846154,0.8414634146341463,-2.3921200750469107
claude-sonnet-4-5-20250929,twohop,100000,0.6904761904761905,0.7166666666666667,2.619047619047621
claude-sonnet-4-5-20250929,twohop,150000,0.8125,0.6875,-12.5
claude-sonnet-4-5-20250929,twohop,200000,0.6707317073170732,0.47368421052631576,-19.704749679075746
claude-sonnet-4-5-20250929,twohop,250000,0.6875,0.5625,-12.5
claude-sonnet-4-5-20250929,twohop,300000,0.5365853658536586,0.6057692307692307,6.918386491557216
claude-sonnet-4-5-20250929,twohop,350000,0.6875,0.5,-18.75
claude-sonnet-4-5-20250929,twohop,400000,0.46774193548387094,0.4230769230769231,-4.466501240694787
claude-sonnet-4-5-20250929,twohop,450000,0.625,0.5625,-6.25
claude-sonnet-4-5-20250929,twohop,500000,0.225,0.4,17.5
claude-sonnet-4-5-20250929,twohop,600000,0.75,0.75,0.0
claude-sonnet-4-5-20250929,twohop,650000,0.5625,0.625,6.25
claude-sonnet-4-5-20250929,twohop,700000,0.375,0.3125,-6.25
gemini-2-5-flash,onehop,10000,1.0,1.0,0.0
gemini-2-5-flash,onehop,20000,1.0,1.0,0.0
gemini-2-5-flash,onehop,30000,1.0,1.0,0.0
gemini-2-5-flash,onehop,40000,1.0,1.0,0.0
gemini-2-5-flash,onehop,50000,1.0,1.0,0.0
gemini-2-5-flash,onehop,60000,1.0,1.0,0.0
gemini-2-5-flash,onehop,70000,1.0,1.0,0.0
gemini-2-5-flash,onehop,80000,1.0,1.0,0.0
gemini-2-5-flash,onehop,90000,1.0,1.0,0.0
gemini-2-5-flash,onehop,100000,1.0,1.0,0.0
gemini-2-5-flash,onehop,150000,1.0,1.0,0.0
gemini-2-5-flash,onehop,200000,1.0,1.0,0.0
gemini-2-5-flash,onehop,250000,1.0,0.9375,-6.25
gemini-2-5-flash,onehop,300000,1.0,0.9375,-6.25
gemini-2-5-flash,onehop,350000,0.875,0.75,-12.5
gemini-2-5-flash,onehop,400000,0.875,0.875,0.0
gemini-2-5-flash,onehop,450000,0.9375,0.9375,0.0
gemini-2-5-flash,onehop,500000,0.9375,0.8125,-12.5
gemini-2-5-flash,onehop,600000,0.8125,0.875,6.25
gemini-2-5-flash,onehop,650000,0.75,0.6875,-6.25
gemini-2-5-flash,onehop,700000,0.8125,0.75,-6.25
gemini-2-5-flash,onehop,750000,0.75,0.875,12.5
gemini-2-5-flash,onehop,800000,0.9375,0.75,-18.75
gemini-2-5-flash,onehop,850000,0.6875,0.625,-6.25
gemini-2-5-flash,onehop,900000,0.4375,0.625,18.75
gemini-2-5-flash,onehop,950000,1.0,0.6666666666666666,-33.333333333333336
gemini-2-5-flash,onehop,1000000,0.9375,0.8666666666666667,-7.08333333333333
gemini-2-5-flash,twohop,10000,0.9375,1.0,6.25
gemini-2-5-flash,twohop,20000,0.8125,1.0,18.75
gemini-2-5-flash,twohop,30000,0.875,1.0,12.5
gemini-2-5-flash,twohop,40000,0.75,1.0,25.0
gemini-2-5-flash,twohop,50000,0.625,1.0,37.5
gemini-2-5-flash,twohop,60000,0.625,0.8125,18.75
gemini-2-5-flash,twohop,70000,0.5625,1.0,43.75
gemini-2-5-flash,twohop,80000,0.6875,1.0,31.25
gemini-2-5-flash,twohop,90000,0.6875,0.9375,25.0
gemini-2-5-flash,twohop,100000,0.5,0.75,25.0
gemini-2-5-flash,twohop,150000,0.625,1.0,37.5
gemini-2-5-flash,twohop,200000,0.5625,0.875,31.25
gemini-2-5-flash,twohop,250000,0.5,0.625,12.5
gemini-2-5-flash,twohop,300000,0.5625,0.6666666666666666,10.416666666666663
gemini-2-5-flash,twohop,350000,0.5,0.75,25.0
gemini-2-5-flash,twohop,400000,0.5625,0.8125,25.0
gemini-2-5-flash,twohop,450000,0.5625,0.4166666666666667,-14.583333333333332
gemini-2-5-flash,twohop,500000,0.3125,0.625,31.25
gemini-2-5-flash,twohop,600000,0.25,0.6875,43.75
gemini-2-5-flash,twohop,650000,0.25,0.6875,43.75
gemini-2-5-flash,twohop,700000,0.25,0.4375,18.75
gemini-2-5-flash,twohop,750000,0.125,0.5,37.5
gemini-2-5-flash,twohop,800000,0.375,0.4666666666666667,9.166666666666668
gemini-2-5-flash,twohop,850000,0.25,0.4375,18.75
gemini-2-5-flash,twohop,900000,0.125,0.4375,31.25
gemini-2-5-flash,twohop,950000,0.375,0.8461538461538461,47.11538461538461
gemini-2-5-flash,twohop,1000000,0.3125,0.6,28.749999999999996
gemini-3-flash-preview,onehop,10000,1.0,1.0,0.0
gemini-3-flash-preview,onehop,20000,1.0,1.0,0.0
gemini-3-flash-preview,onehop,30000,1.0,1.0,0.0
gemini-3-flash-preview,onehop,40000,1.0,1.0,0.0
gemini-3-flash-preview,onehop,50000,1.0,1.0,0.0
gemini-3-flash-preview,onehop,60000,1.0,1.0,0.0
gemini-3-flash-preview,onehop,70000,1.0,1.0,0.0
gemini-3-flash-preview,onehop,80000,1.0,1.0,0.0
gemini-3-flash-preview,onehop,90000,1.0,1.0,0.0
gemini-3-flash-preview,onehop,100000,1.0,1.0,0.0
gemini-3-flash-preview,onehop,150000,1.0,1.0,0.0
gemini-3-flash-preview,onehop,200000,1.0,1.0,0.0
gemini-3-flash-preview,onehop,250000,1.0,1.0,0.0
gemini-3-flash-preview,onehop,300000,1.0,1.0,0.0
gemini-3-flash-preview,onehop,350000,1.0,1.0,0.0
gemini-3-flash-preview,onehop,400000,1.0,1.0,0.0
gemini-3-flash-preview,onehop,450000,1.0,1.0,0.0
gemini-3-flash-preview,onehop,500000,1.0,1.0,0.0
gemini-3-flash-preview,onehop,600000,1.0,1.0,0.0
gemini-3-flash-preview,onehop,650000,1.0,1.0,0.0
gemini-3-flash-preview,onehop,700000,1.0,1.0,0.0
gemini-3-flash-preview,onehop,750000,1.0,1.0,0.0
gemini-3-flash-preview,onehop,800000,1.0,1.0,0.0
gemini-3-flash-preview,onehop,850000,1.0,1.0,0.0
gemini-3-flash-preview,onehop,900000,1.0,1.0,0.0
gemini-3-flash-preview,onehop,950000,1.0,1.0,0.0
gemini-3-flash-preview,onehop,1000000,1.0,1.0,0.0
gemini-3-flash-preview,twohop,10000,0.6875,1.0,31.25
gemini-3-flash-preview,twohop,20000,0.75,1.0,25.0
gemini-3-flash-preview,twohop,30000,0.8125,1.0,18.75
gemini-3-flash-preview,twohop,40000,0.875,1.0,12.5
gemini-3-flash-preview,twohop,50000,0.9375,1.0,6.25
gemini-3-flash-preview,twohop,60000,0.875,1.0,12.5
gemini-3-flash-preview,twohop,70000,0.875,1.0,12.5
gemini-3-flash-preview,twohop,80000,0.75,1.0,25.0
gemini-3-flash-preview,twohop,90000,0.875,1.0,12.5
gemini-3-flash-preview,twohop,100000,0.9375,1.0,6.25
gemini-3-flash-preview,twohop,150000,0.9375,1.0,6.25
gemini-3-flash-preview,twohop,200000,0.875,1.0,12.5
gemini-3-flash-preview,twohop,250000,0.9375,1.0,6.25
gemini-3-flash-preview,twohop,300000,0.9375,1.0,6.25
gemini-3-flash-preview,twohop,350000,0.9375,1.0,6.25
gemini-3-flash-preview,twohop,400000,0.8125,1.0,18.75
gemini-3-flash-preview,twohop,450000,0.8125,1.0,18.75
gemini-3-flash-preview,twohop,500000,0.9375,1.0,6.25
gemini-3-flash-preview,twohop,600000,0.9375,0.9375,0.0
gemini-3-flash-preview,twohop,650000,1.0,1.0,0.0
gemini-3-flash-preview,twohop,700000,0.875,1.0,12.5
gemini-3-flash-preview,twohop,750000,0.9375,1.0,6.25
gemini-3-flash-preview,twohop,800000,0.8125,1.0,18.75
gemini-3-flash-preview,twohop,850000,1.0,1.0,0.0
gemini-3-flash-preview,twohop,900000,0.9333333333333333,1.0,6.666666666666665
gemini-3-flash-preview,twohop,950000,0.9375,1.0,6.25
gemini-3-flash-preview,twohop,1000000,0.9333333333333333,1.0,6.666666666666665
gpt-4-1,onehop,10000,0.9903846153846154,1.0,0.9615384615384581
gpt-4-1,onehop,20000,0.9622641509433962,0.9903846153846154,2.8120464441219184
gpt-4-1,onehop,30000,0.9903846153846154,0.9903846153846154,0.0
gpt-4-1,onehop,40000,0.9814814814814815,0.9519230769230769,-2.955840455840464
gpt-4-1,onehop,50000,0.9528301886792453,0.9711538461538461,1.8323657474600852
